Timestamp,Longitude,Latitude,Operatorname,NetworkTech,Level,Speed,Altitude,Filemark
2025.04.02_18.55.14,77.897975,29.862605,JIO4G,4G,-74,3,252,
2025.04.02_18.55.32,77.898063,29.862653,JIO4G,4G,-75,0,255,
2025.04.02_18.55.40,77.897961,29.86268,JIO4G,4G,-70,2,253,
2025.04.02_18.55.47,77.897856,29.862731,JIO4G,4G,-74,4,249,
2025.04.02_18.55.56,77.897806,29.862826,JIO4G,4G,-77,4,246,
2025.04.02_18.56.02,77.897865,29.862941,JIO4G,4G,-80,4,243,
2025.04.02_18.56.09,77.897931,29.86303,JIO4G,4G,-79,4,230,
2025.04.02_18.56.17,77.898038,29.863004,JIO4G,4G,-82,4,227,
2025.04.02_18.56.25,77.898161,29.862978,JIO4G,4G,-82,4,227,
2025.04.02_18.56.35,77.898265,29.862948,JIO4G,4G,-86,4,226,
2025.04.02_18.56.44,77.898376,29.862956,JIO4G,4G,-86,3,235,
2025.04.02_18.56.54,77.89848,29.862996,JIO4G,4G,-94,3,236,
2025.04.02_18.57.01,77.898598,29.862988,JIO4G,4G,-91,4,233,
2025.04.02_18.57.09,77.898713,29.862958,JIO4G,4G,-94,4,229,
2025.04.02_18.57.14,77.898818,29.862933,JIO4G,4G,-92,4,229,
2025.04.02_18.57.23,77.898935,29.862933,JIO4G,4G,-94,3,233,
2025.04.02_18.57.31,77.899036,29.862911,JIO4G,4G,-85,4,233,
2025.04.02_18.57.38,77.89914,29.862921,JIO4G,4G,-94,4,232,
2025.04.02_18.57.45,77.899251,29.862914,JIO4G,4G,-88,4,232,
2025.04.02_18.57.55,77.899358,29.862936,JIO4G,4G,-96,4,232,
2025.04.02_18.58.03,77.89947,29.862935,JIO4G,4G,-91,3,234,
2025.04.02_18.58.13,77.899575,29.862913,JIO4G,4G,-94,3,235,
2025.04.02_18.58.21,77.899686,29.862906,JIO4G,4G,-97,3,231,
2025.04.02_18.58.29,77.899805,29.862885,JIO4G,4G,-97,3,229,
2025.04.02_18.58.39,77.899915,29.862868,JIO4G,4G,-97,3,223,
2025.04.02_18.58.50,77.899923,29.862773,JIO4G,4G,-89,3,221,
2025.04.02_18.58.57,77.899931,29.862683,JIO4G,4G,-87,3,223,
2025.04.02_18.59.04,77.899913,29.86259,JIO4G,4G,-82,3,225,
2025.04.02_18.59.12,77.899925,29.862498,JIO4G,4G,-81,3,232,
2025.04.02_18.59.22,77.899918,29.862405,JIO4G,4G,-89,3,243,
2025.04.02_18.59.29,77.899918,29.862305,JIO4G,4G,-79,3,247,
2025.04.02_18.59.35,77.899946,29.862203,JIO4G,4G,-90,3,246,
2025.04.02_18.59.36,77.899946,29.862203,JIO4G,2G,-113,3,246,
2025.04.02_18.59.38,77.899946,29.862203,JIO4G,4G,-93,3,246,
2025.04.02_18.59.41,77.90006,29.86218,JIO4G,4G,-93,3,245,
2025.04.02_19.04.46,77.900161,29.862113,JIO4G,4G,-95,0,225,
2025.04.02_19.04.46,77.90013,29.862121,JIO4G,4G,-95,1,226,
2025.04.02_19.04.58,77.900068,29.862194,JIO4G,4G,-86,3,226,
2025.04.02_19.05.08,77.900031,29.862281,JIO4G,4G,-79,3,227,
2025.04.02_19.05.17,77.900013,29.862378,JIO4G,4G,-80,3,228,
2025.04.02_19.05.26,77.900036,29.862471,JIO4G,4G,-78,3,229,
2025.04.02_19.05.35,77.900016,29.862569,JIO4G,4G,-87,3,229,
2025.04.02_19.05.44,77.900026,29.862666,JIO4G,4G,-96,3,230,
2025.04.02_19.05.51,77.900026,29.862666,JIO4G,4G,-97,3,230,
2025.04.02_19.05.53,77.900026,29.862666,JIO4G,4G,-92,3,230,
2025.04.02_19.05.55,77.900061,29.862755,JIO4G,4G,-95,3,231,
2025.04.02_19.06.06,77.900098,29.862853,JIO4G,4G,-99,3,232,
2025.04.02_19.06.14,77.900124,29.862946,JIO4G,4G,-102,3,232,
2025.04.02_19.06.22,77.90014,29.863045,JIO4G,4G,-100,3,232,
2025.04.02_19.06.31,77.900158,29.863135,JIO4G,4G,-100,2,231,
2025.04.02_19.06.35,77.900126,29.863223,JIO4G,4G,-99,2,230,
2025.04.02_19.06.41,77.900105,29.863313,JIO4G,4G,-98,2,225,
2025.04.02_19.06.48,77.900106,29.86341,JIO4G,4G,-101,3,220,
2025.04.02_19.06.51,77.900106,29.86341,JIO4G,4G,-97,3,220,
2025.04.02_19.06.55,77.900113,29.863509,JIO4G,4G,-96,4,217,
2025.04.02_19.07.05,77.900124,29.863605,JIO4G,4G,-98,3,218,
2025.04.02_19.07.15,77.90016,29.863698,JIO4G,4G,-98,3,222,
2025.04.02_19.07.24,77.900146,29.863798,JIO4G,4G,-97,3,221,
2025.04.02_19.07.32,77.90016,29.863888,JIO4G,4G,-101,3,219,
2025.04.02_19.07.41,77.900143,29.863983,JIO4G,4G,-98,3,217,
2025.04.02_19.07.49,77.900103,29.864066,JIO4G,4G,-96,3,217,
2025.04.02_19.07.58,77.900036,29.864141,JIO4G,4G,-96,3,219,
